# First 4520 nontrivial Riemann zeta zeros (imaginary parts gamma_n)
# Source: David Platt computation, LMFDB (lmfdb.org/zeros/zeta), interval t in (14, 5000]
# Decoded from Platt binary format (100-bit precision). First 5 match Odlyzko published values.
n,gamma
281,515.435057167
282,517.589668572
283,518.234223148
284,520.106310412
285,521.525193449
286,522.456696178
287,523.960530892
288,525.077385687
289,527.903641601
290,528.406213852
291,529.806226319
292,530.866917884
293,532.688183028
294,533.779630754
295,535.664314076
296,537.069759083
297,538.428526176
298,540.213166376
299,540.631390247
300,541.847437121
301,544.323890101
302,545.636833249
303,547.010912058
304,547.931613364
305,549.497567563
306,550.970010039
307,552.049572201
308,553.764972119
309,555.792020562
310,556.899476407
311,557.564659172
312,559.316237029
313,560.240807497
314,562.559207616
315,564.160879111
316,564.506055938
317,566.698787683
318,567.731757901
319,568.923955180
320,570.051114782
321,572.419984132
322,573.614610527
323,575.093886014
324,575.807247141
325,577.039003472
326,579.098834672
327,580.136959362
328,581.946576266
329,583.236088219
330,584.561705903
331,585.984563205
332,586.742771891
333,588.139663266
334,590.660397517
335,591.725858065
336,592.571358300
337,593.974714682
338,595.728153697
339,596.362768328
340,598.493077346
341,599.545640364
342,601.602136736
343,602.579167886
344,603.625618904
345,604.616218494
346,606.383460422
347,608.413217311
348,609.389575155
349,610.839162938
350,611.774209621
351,613.599778676
352,614.646237872
353,615.538563369
354,618.112831366
355,619.184482598
356,620.272893672
357,621.709294528
358,622.375002740
359,624.269900018
360,626.019283428
361,627.268396851
362,628.325862359
363,630.473887438
364,630.805780927
365,632.225141167
366,633.546858252
367,635.523800311
368,637.397193160
369,637.925513981
370,638.927938267
371,640.694794669
372,641.945499666
373,643.278883781
374,644.990578230
375,646.348191596
376,647.761753004
377,648.786400889
378,650.197519345
379,650.668683891
380,653.649571605
381,654.301920586
382,655.709463022
383,656.964084599
384,658.175614419
385,659.663845973
386,660.716732595
387,662.296586431
388,664.244604652
389,665.342763096
390,666.515147704
391,667.148494895
392,668.975848820
393,670.323585206
394,672.458183584
395,673.043578286
396,674.355897810
397,676.139674364
398,677.230180669
399,677.800444746
400,679.742197883
401,681.894991533
402,682.602735020
403,684.013549814
404,684.972629862
405,686.163223588
406,687.961543185
407,689.368941362
408,690.474735032
409,692.451684416
410,693.176970061
411,694.533908700
412,695.726335921
413,696.626069900
414,699.132095476
415,700.296739132
416,701.301742955
417,702.227343146
418,704.033839296
419,705.125813955
420,706.184654800
421,708.269070885
422,709.229588570
423,711.130274180
424,711.900289914
425,712.749383470
426,714.082771821
427,716.112396454
428,717.482569703
429,718.742786545
430,719.697100988
431,721.351162219
432,722.277504976
433,723.845821045
434,724.562613890
435,727.056403230
436,728.405481589
437,728.758749796
438,730.416482123
439,731.417354919
440,732.818052714
441,734.789643252
442,735.765459209
443,737.052928912
444,738.580421171
445,739.909523674
446,740.573807447
447,741.757335573
448,743.895013142
449,745.344989551
450,746.499305899
451,747.674563624
452,748.242754465
453,750.655950362
454,750.966381067
455,752.887621567
456,754.322370472
457,755.839308976
458,756.768248440
459,758.101729246
460,758.900238225
461,760.282366984
462,762.700033250
463,763.593066173
464,764.307522724
465,766.087540100
466,767.218472156
467,768.281461807
468,769.693407253
469,771.070839314
470,772.961617566
471,774.117744628
472,775.047847097
473,775.999711963
474,777.299748530
475,779.157076949
476,780.348925004
477,782.137664391
478,782.597943946
479,784.288822612
480,785.739089701
481,786.461147451
482,787.468463816
483,790.059092364
484,790.831620468
485,792.427707609
486,792.888652563
487,794.483791870
488,795.606596156
489,797.263470038
490,798.707570166
491,799.654336211
492,801.604246463
493,802.541984878
494,803.243096204
495,804.762239113
496,805.861635667
497,808.151814936
498,809.197783363
499,810.081804886
500,811.184358847
501,812.771108389
502,814.045913608
503,814.870539626
504,816.727737714
505,818.380668866
506,819.204642171
507,820.721898444
508,821.713454133
509,822.197757493
510,824.526293872
511,826.039287377
512,826.905810954
513,828.340174300
514,829.437010968
515,830.895884053
516,831.799777659
517,833.003640909
518,834.651915148
519,836.693576188
520,837.347335060
521,838.249021993
522,839.465394810
523,841.036389829
524,842.041354207
525,844.166196607
526,844.805993976
527,846.194769928
528,847.971717640
529,848.489281181
530,849.862274349
531,850.645448466
532,853.163112583
533,854.095511720
534,855.286710244
535,856.484117491
536,857.310740603
537,858.904026466
538,860.410670896
539,861.171098213
540,863.189719772
541,864.340823930
542,865.594664327
543,866.423739904
544,867.693122612
545,868.670494229
546,870.846902326
547,872.188750822
548,873.098978971
549,873.908389235
550,875.985285109
551,876.600825833
552,877.654698341
553,879.380951970
554,880.834648848
555,882.386696627
556,883.430331839
557,884.198743115
558,885.272304480
559,886.852801963
560,888.475566674
561,889.735294294
562,890.813132113
563,892.386433260
564,893.119117567
565,894.886292321
566,895.397919675
567,896.632251556
568,899.221522668
569,899.858884608
570,900.849739861
571,902.243207587
572,903.099674443
573,904.702902722
574,905.829940758
575,907.656729469
576,908.333543645
577,910.186334057
578,911.234951486
579,912.331045600
580,912.823999247
581,914.730096958
582,916.355000809
583,917.825377570
584,918.836535244
585,919.448344440
586,921.156395507
587,922.500629307
588,923.285719802
589,924.773483933
590,926.551552785
591,927.850858986
592,928.663659329
593,929.874092851
594,931.009211337
595,931.852740746
596,934.385306837
597,934.995424864
598,936.228649379
599,937.532925712
600,939.024300899
601,939.660940615
602,941.156999642
603,942.052341643
604,944.188035810
605,945.333562503
606,946.765842205
607,947.079183096
608,948.346646255
609,950.151612685
610,951.033248734
611,952.727988620
612,954.129719270
613,954.829308938
614,956.675479343
615,957.510052596
616,958.414593390
617,959.459168807
618,961.669572474
619,963.182086671
620,963.567040192
621,965.055579624
622,966.110754818
623,967.371153766
624,968.636301906
625,970.125610557
626,971.071491486
627,973.185361294
628,973.873078993
629,974.774635066
630,976.178502421
631,976.917202117
632,978.766671535
633,980.578000640
634,981.288615302
635,982.396485169
636,983.575076006
637,985.186928656
638,986.130515110
639,986.756008408
640,988.992622371
641,990.223917804
642,991.374294148
643,992.728696337
644,993.214580957
645,994.404590571
646,996.205336164
647,997.511934752
648,998.827547137
649,999.791571557
650,1001.349482638
651,1002.404305488
652,1003.267808179
653,1004.675044121
654,1005.543420304
655,1008.006704307
656,1008.795709901
657,1009.806590747
658,1010.569757011
659,1012.410042516
660,1013.058638098
661,1014.689632622
662,1016.060178943
663,1017.266402364
664,1018.605572519
665,1019.912439744
666,1020.917475017
667,1021.544344500
668,1022.885270912
669,1025.265724198
670,1025.707944371
671,1027.467693516
672,1028.128964255
673,1029.227297444
674,1030.897368791
675,1031.833180297
676,1032.812883035
677,1034.612915530
678,1036.195917358
679,1037.024707646
680,1038.087752241
681,1039.077401437
682,1040.264037938
683,1041.621528015
684,1043.623954350
685,1044.514975829
686,1045.107042353
687,1047.089817484
688,1047.987147490
689,1048.953785195
690,1049.996284257
691,1051.576571843
692,1053.245785158
693,1054.781039478
694,1055.002146476
695,1056.688847364
696,1057.100043660
697,1059.133769107
698,1060.139518562
699,1061.501304465
700,1062.915381508
701,1064.071551072
702,1065.121855106
703,1066.463223469
704,1067.418860121
705,1067.990000079
706,1070.535041997
707,1071.618623215
708,1072.543998011
709,1073.570353165
710,1074.747771044
711,1076.266625594
712,1076.924056066
713,1078.647198481
714,1079.809965429
715,1081.171002343
716,1082.952749723
717,1083.295466514
718,1084.183264310
719,1085.647831209
720,1086.911998990
721,1088.755724675
722,1089.795337924
723,1090.863191026
724,1091.728472967
725,1093.440873272
726,1094.284457524
727,1095.433084759
728,1096.401917795
729,1098.841015467
730,1099.360667179
731,1100.574460622
732,1101.839111169
733,1102.551779900
734,1103.732297175
735,1105.617188831
736,1106.774371676
737,1107.774531955
738,1109.158918857
739,1110.444142994
740,1111.443504765
741,1112.432995408
742,1113.397595115
743,1115.065359462
744,1116.787253881
745,1117.965919669
746,1118.684134861
747,1119.473247426
748,1121.155937676
749,1122.458621357
750,1123.101117388
751,1125.314729398
752,1125.763442429
753,1127.658023527
754,1128.430224614
755,1129.728996777
756,1130.391597896
757,1131.495085562
758,1133.708625669
759,1134.885654592
760,1135.562213975
761,1136.929293481
762,1138.151589780
763,1138.992341820
764,1140.721848172
765,1141.261022964
766,1142.858659608
767,1144.782299519
768,1145.485327517
769,1146.576814925
770,1147.501776523
771,1148.615277209
772,1149.982601028
773,1151.562814724
774,1152.943128531
775,1153.890303716
776,1154.697519535
777,1156.621567834
778,1157.432314576
779,1158.001609027
780,1159.480657019
781,1161.396644634
782,1162.487528602
783,1163.701031683
784,1164.737586351
785,1165.271227706
786,1166.943613410
787,1168.086271610
788,1169.698356885
789,1170.463638578
790,1172.120681866
791,1173.305687764
792,1174.232766856
793,1175.215452396
794,1176.632875810
795,1177.106304422
796,1179.701223502
797,1180.653543787
798,1181.267318152
799,1182.582270347
800,1183.712775296
801,1185.155842847
802,1185.875358695
803,1187.345161493
804,1188.856444298
805,1189.963636498
806,1191.482605926
807,1192.218611478
808,1193.324021427
809,1193.857427135
810,1196.034671749
811,1197.071786659
812,1198.686569105
813,1199.356513708
814,1200.532692031
815,1201.810334857
816,1203.137350861
817,1203.855247594
818,1204.985492171
819,1206.870499794
820,1208.471459950
821,1208.989484168
822,1209.898030088
823,1211.416115893
824,1212.113153066
825,1213.598372680
826,1215.389975065
827,1216.183722033
828,1217.174482498
829,1219.050028177
830,1219.614471311
831,1220.816347691
832,1221.692242483
833,1222.952484095
834,1225.018330024
835,1225.855020761
836,1227.231827641
837,1227.917141614
838,1228.793154363
839,1230.584603154
840,1231.562273878
841,1232.529587041
842,1234.277816653
843,1235.502548527
844,1236.399017466
845,1237.977298514
846,1238.457232796
847,1239.490807147
848,1240.813471785
849,1243.078076398
850,1243.538146526
851,1244.851433967
852,1245.655866188
853,1247.372561970
854,1248.063061053
855,1249.159887953
856,1250.672397276
857,1251.659832004
858,1253.673577852
859,1254.431328422
860,1255.408230645
861,1256.181214198
862,1257.541219413
863,1258.779233489
864,1260.344548316
865,1261.611717161
866,1262.556614000
867,1263.676732844
868,1264.957223007
869,1266.179037761
870,1267.200345612
871,1267.570571779
872,1270.118921886
873,1271.134299632
874,1272.083959599
875,1273.261144633
876,1274.196220889
877,1275.092030316
878,1276.842171556
879,1277.763091986
880,1279.332843317
881,1280.155794409
882,1281.828726960
883,1283.000491387
884,1283.335032139
885,1284.854795155
886,1285.695023331
887,1287.410026617
888,1289.165351533
889,1290.104771520
890,1290.417708073
891,1291.945870968
892,1293.493981557
893,1294.118474378
894,1295.365363505
895,1296.801110992
896,1298.256527068
897,1299.405171251
898,1300.490018982
899,1301.495516681
900,1302.346742379
901,1303.273200229
902,1305.401672188
903,1306.508393313
904,1307.267242108
905,1308.988196518
906,1309.421532493
907,1311.056570511
908,1311.966940608
909,1313.031599369
910,1314.052565652
911,1316.212112603
912,1317.072986035
913,1318.171279132
914,1318.947880597
915,1319.931082878
916,1321.628138552
917,1322.258067123
918,1324.224978719
919,1325.237624359
920,1325.981969630
921,1327.635281108
922,1329.043517997
923,1329.205018785
924,1330.429937120
925,1331.827591385
926,1333.673522610
927,1334.747329052
928,1335.694974526
929,1336.690184653
930,1337.688791810
931,1338.923164599
932,1340.426400457
933,1341.166272253
934,1342.608507884
935,1344.156044004
936,1345.477106261
937,1345.731413255
938,1347.519471751
939,1348.017238019
940,1349.085194014
941,1351.296206374
942,1352.210465159
943,1353.483338358
944,1353.886781972
945,1355.680595321
946,1356.605655710
947,1357.771742829
948,1358.460160399
949,1360.393144762
950,1361.393074714
951,1363.022328603
952,1363.879190797
953,1364.576584897
954,1365.493733551
955,1367.104090970
956,1368.330193308
957,1369.686949077
958,1370.973522768
959,1371.686553553
960,1373.202914562
961,1374.154798659
962,1375.302392345
963,1376.161779994
964,1377.177633642
965,1379.683283029
966,1380.148578442
967,1381.073977149
968,1382.345662978
969,1383.297591008
970,1384.444415848
971,1385.663777011
972,1387.326647663
973,1387.921454127
974,1389.565831798
975,1390.705490286
976,1391.853200443
977,1392.644027789
978,1393.433401741
979,1394.884184676
980,1396.544163124
981,1397.834623321
982,1398.837675201
983,1399.839472941
984,1400.426946297
985,1402.564347250
986,1402.973747641
987,1404.006292171
988,1405.666975059
989,1407.085142776
990,1408.136307496
991,1409.320681080
992,1410.024810726
993,1411.257056816
994,1411.965653462
995,1413.843148789
996,1415.585784795
997,1415.781581303
998,1417.102822934
999,1418.696963852
1000,1419.422480946
1001,1420.416526324
1002,1421.850567187
1003,1422.461310988
1004,1424.463045670
1005,1425.873469245
1006,1426.645979682
1007,1427.365671109
1008,1428.592305876
1009,1429.650477276
1010,1431.218313673
1011,1432.049740893
1012,1433.821940737
1013,1434.584942168
1014,1435.692907383
1015,1437.226721624
1016,1438.006284842
1017,1438.949552747
1018,1439.622793078
1019,1441.960987505
1020,1442.911059581
1021,1444.041930706
1022,1445.072278459
1023,1445.830084780
1024,1447.226227100
1025,1448.323853516
1026,1449.488771281
1027,1450.773561858
1028,1451.835297999
1029,1453.737596757
1030,1454.226011260
1031,1455.312091240
1032,1456.167797608
1033,1457.539001668
1034,1458.393777369
1035,1460.688270535
1036,1461.245443345
1037,1462.266123266
1038,1463.286891190
1039,1464.696903298
1040,1465.889557614
1041,1466.505621108
1042,1467.703989586
1043,1469.347649878
1044,1470.966589127
1045,1471.388764527
1046,1473.020132324
1047,1473.745649186
1048,1474.203221566
1049,1476.092127038
1050,1477.435191147
1051,1478.441395973
1052,1479.759918706
1053,1480.766879018
1054,1481.964684210
1055,1483.032959958
1056,1484.143580882
1057,1484.817883231
1058,1486.171349028
1059,1488.116337976
1060,1489.252466946
1061,1489.970892205
1062,1490.670693815
1063,1492.180090544
1064,1493.330835421
1065,1494.155368614
1066,1495.768832979
1067,1497.065505572
1068,1497.747360933
1069,1499.640824747
1070,1500.351951517
1071,1501.119324922
1072,1502.346063292
1073,1503.090933127
1074,1505.261529655
1075,1506.152986138
1076,1507.407505164
1077,1508.253031030
1078,1509.280419363
1079,1510.391797446
1080,1511.923005459
1081,1512.589764705
1082,1513.589765540
1083,1515.708343587
1084,1516.435989719
1085,1517.719806254
1086,1518.414791487
1087,1519.741009494
1088,1520.273622220
1089,1521.901909065
1090,1523.486047149
1091,1524.724892161
1092,1525.227837234
1093,1526.552311910
1094,1528.040930429
1095,1529.034456729
1096,1529.369975365
1097,1531.020742970
1098,1532.222326939
1099,1533.886977913
1100,1535.042277471
1101,1535.769502395
1102,1536.620701824
1103,1537.651062168
1104,1539.302854856
1105,1540.030270140
1106,1541.742248763
1107,1542.496522923
1108,1544.118670055
1109,1544.834608228
1110,1546.091197786
1111,1547.297581121
1112,1547.806563802
1113,1548.871348179
1114,1551.273845326
1115,1552.006872838
1116,1552.736105330
1117,1554.156519110
1118,1554.921285165
1119,1556.162987498
1120,1557.394507018
1121,1558.339152852
1122,1559.781154391
1123,1560.876475778
1124,1562.410153180
1125,1563.385400958
1126,1564.177940460
1127,1564.915788262
1128,1566.266415602
1129,1567.623450717
1130,1569.022477804
1131,1570.509277867
1132,1571.045381486
1133,1571.845352088
1134,1573.806563330
1135,1574.230915430
1136,1575.638154952
1137,1576.161352363
1138,1578.118826946
1139,1579.514055068
1140,1580.372081625
1141,1581.363551773
1142,1582.329486944
1143,1583.394693435
1144,1584.234848066
1145,1586.293210750
1146,1587.004342107
1147,1588.163404029
1148,1589.357945950
1149,1590.835904321
1150,1591.293884374
1151,1592.637167039
1152,1593.584808189
1153,1594.442689656
1154,1596.484492410
1155,1597.715895944
1156,1598.420798550
1157,1599.619348950
1158,1600.048044903
1159,1601.911946229
1160,1602.815404794
1161,1603.655202996
1162,1605.521646647
1163,1606.293418127
1164,1607.556905212
1165,1608.836295305
1166,1610.003264190
1167,1610.253823163
1168,1611.437141270
1169,1613.078855451
1170,1614.710627852
1171,1615.574608719
1172,1616.398394842
1173,1617.734684841
1174,1618.537517832
1175,1619.952501261
1176,1620.774310821
1177,1622.098751698
1178,1622.977767699
1179,1625.021856658
1180,1625.987020164
1181,1626.399919312
1182,1627.755441276
1183,1628.715316857
1184,1629.658668955
1185,1631.194814552
1186,1632.798183571
1187,1633.512516890
1188,1634.516822662
1189,1635.718366326
1190,1637.089190173
1191,1637.994643586
1192,1638.599658304
1193,1639.821235730
1194,1641.899819009
1195,1642.489779822
1196,1644.152065960
1197,1644.713745775
1198,1645.573760363
1199,1646.624866593
1200,1648.270598223
1201,1649.118535409
1202,1650.416988983
1203,1651.732693341
1204,1652.671065900
1205,1654.205896759
1206,1654.726652393
1207,1655.822775677
1208,1657.114236400
1209,1657.567101179
1210,1660.019980338
1211,1660.860056833
1212,1661.836892884
1213,1662.377202549
1214,1664.057265418
1215,1664.968004486
1216,1665.877640414
1217,1667.241125052
1218,1668.368229327
1219,1669.669728452
1220,1671.047182433
1221,1671.984259334
1222,1672.963370831
1223,1673.687445334
1224,1674.648462097
1225,1676.362486324
1226,1677.691227142
1227,1678.630368091
1228,1680.077946717
1229,1680.504770113
1230,1681.812320174
1231,1683.273289261
1232,1684.171656837
1233,1684.558863253
1234,1686.421121948
1235,1688.080142693
1236,1688.933868510
1237,1689.703154256
1238,1691.051559917
1239,1691.515192892
1240,1693.053020930
1241,1694.017564653
1242,1695.832554474
1243,1696.654997440
1244,1697.342514287
1245,1699.229547188
1246,1699.966817267
1247,1700.820303245
1248,1701.825550997
1249,1702.923249764
1250,1704.291412427
1251,1706.256032432
1252,1706.615665035
1253,1707.912312493
1254,1708.512116178
1255,1709.780842299
1256,1711.137603259
1257,1712.155397654
1258,1713.055341728
1259,1714.717145255
1260,1715.825283040
1261,1716.769983717
1262,1717.974485066
1263,1718.954152499
1264,1719.724469322
1265,1720.498070948
1266,1722.844661740
1267,1723.532822631
1268,1724.733958738
1269,1725.638628020
1270,1726.605700740
1271,1728.166506761
1272,1728.644486480
1273,1730.023872545
1274,1731.014193762
1275,1732.430169859
1276,1733.840825021
1277,1735.175466021
1278,1735.624715343
1279,1736.305662733
1280,1737.893884787
1281,1738.783237589
1282,1740.169115680
1283,1741.779167809
1284,1742.467680721
1285,1743.426436859
1286,1744.721511938
1287,1746.097498596
1288,1746.595456627
1289,1747.781695528
1290,1748.563987381
1291,1750.822818490
1292,1751.617794946
1293,1752.511511141
1294,1753.661355243
1295,1754.763369874
1296,1755.169694068
1297,1757.046518461
1298,1757.984077033
1299,1759.240085647
1300,1760.215166243
1301,1761.854899939
1302,1762.497688871
1303,1763.719121496
1304,1764.591476849
1305,1765.400493992
1306,1766.676243599
1307,1768.295971136
1308,1769.940952052
1309,1770.243677312
1310,1771.212944984
1311,1772.328000364
1312,1773.894915511
1313,1774.660430990
1314,1775.341987574
1315,1777.255860224
1316,1778.041734762
1317,1779.552270809
1318,1780.665228493
1319,1781.355637723
1320,1782.439067320
1321,1783.084829520
1322,1784.607946397
1323,1786.342201179
1324,1787.049273087
1325,1788.215123480
1326,1789.242179964
1327,1790.449562370
1328,1791.254409819
1329,1792.616102735
1330,1793.525390652
1331,1794.178482007
1332,1796.465140537
1333,1797.376335671
1334,1798.147067458
1335,1799.231647210
1336,1800.024724020
1337,1801.309636945
1338,1802.301283491
1339,1803.796843813
1340,1804.904160975
1341,1806.289667019
1342,1806.578391751
1343,1808.714431865
1344,1809.119273788
1345,1810.108892988
1346,1810.873719159
1347,1812.420077002
1348,1814.024140348
1349,1814.973082363
1350,1816.338611220
1351,1816.758023365
1352,1817.710608563
1353,1819.260334099
1354,1820.187882187
1355,1821.305708365
1356,1822.427671440
1357,1823.766265896
1358,1825.213676893
1359,1825.915683615
1360,1826.795455271
1361,1828.211270500
1362,1828.621091758
1363,1829.832529710
1364,1831.936379902
1365,1832.984940244
1366,1833.273239033
1367,1834.721559749
1368,1835.883754438
1369,1836.827672516
1370,1838.086943306
1371,1838.640288708
1372,1840.195563473
1373,1841.478582571
1374,1842.875955279
1375,1843.771057743
1376,1844.759043650
1377,1845.417534146
1378,1846.353253421
1379,1848.330980622
1380,1848.722760911
1381,1850.601184048
1382,1851.400361995
1383,1852.342204733
1384,1853.519342921
1385,1854.855632116
1386,1855.592934937
1387,1856.389179154
1388,1857.498074815
1389,1859.495271569
1390,1860.541388109
1391,1861.379671547
1392,1862.121464929
1393,1863.425464845
1394,1864.353981336
1395,1865.367433794
1396,1866.836547019
1397,1868.085190999
1398,1868.706745684
1399,1870.421471768
1400,1871.416043098
1401,1872.441566428
1402,1872.865667638
1403,1874.508361413
1404,1874.913774010
1405,1877.095064167
1406,1878.022251483
1407,1879.153303090
1408,1880.082325419
1409,1880.611766480
1410,1882.321974797
1411,1883.408724270
1412,1884.005778350
1413,1885.198075130
1414,1887.053894807
1415,1887.808841417
1416,1888.938182637
1417,1890.348128614
1418,1890.612128588
1419,1891.678510540
1420,1892.867701336
1421,1894.558537572
1422,1895.697155654
1423,1896.585494347
1424,1897.513692860
1425,1898.829372819
1426,1900.006144829
1427,1900.571884272
1428,1901.891305751
1429,1902.805059207
1430,1904.089325323
1431,1906.102756198
1432,1906.597678004
1433,1907.332780124
1434,1908.433063045
1435,1909.465930026
1436,1910.733659616
1437,1911.704690943
1438,1913.182489776
1439,1914.352300052
1440,1915.054629333
1441,1916.606371840
1442,1917.344704042
1443,1918.786498910
1444,1919.207778398
1445,1919.937457371
1446,1922.101625622
1447,1923.280837936
1448,1924.055831101
1449,1925.231987975
1450,1926.211583080
1451,1926.820092795
1452,1928.417518550
1453,1929.487560181
1454,1930.258387180
1455,1931.760069437
1456,1932.875754550
1457,1934.416436369
1458,1934.907943434
1459,1935.924848804
1460,1936.873093814
1461,1937.968633498
1462,1939.050029151
1463,1940.977326706
1464,1941.822862216
1465,1942.633568692
1466,1943.367947449
1467,1945.153796306
1468,1945.922716949
1469,1946.609945362
1470,1947.917047738
1471,1949.030030074
1472,1950.743201553
1473,1951.536695873
1474,1952.850129212
1475,1953.448556325
1476,1954.418588175
1477,1955.315809284
1478,1956.848164578
1479,1958.314403555
1480,1958.851883463
1481,1960.418845269
1482,1961.359277880
1483,1962.233571849
1484,1963.621184573
1485,1964.357390938
1486,1965.377829505
1487,1966.117658574
1488,1968.471602019
1489,1969.047617547
1490,1970.305009517
1491,1970.855547580
1492,1971.970312805
1493,1973.182663406
1494,1974.347201910
1495,1975.080610302
1496,1977.173943698
1497,1977.271446200
1498,1978.801448168
1499,1980.371772287
1500,1980.910043091
1501,1981.748768897
1502,1982.663279195
1503,1983.923804622
1504,1985.416540175
1505,1986.757107716
1506,1987.873473361
1507,1988.251876807
1508,1989.702002708
1509,1990.478352526
1510,1992.001706394
1511,1992.784987875
1512,1993.577493138
1513,1995.168739612
1514,1996.796176966
1515,1997.390914060
1516,1998.279006926
1517,1999.545764176
1518,2000.434515302
1519,2000.929620689
1520,2002.896408374
1521,2004.139669233
1522,2005.077848124
1523,2005.900934886
1524,2007.125180170
1525,2008.418240330
1526,2009.176634123
1527,2010.153324768
1528,2011.020705074
1529,2012.538935477
1530,2013.872097714
1531,2015.186728609
1532,2016.029638032
1533,2016.800075656
1534,2017.386767252
1535,2019.264600216
1536,2019.884367140
1537,2021.196042769
1538,2022.545617685
1539,2023.572911777
1540,2024.488262158
